0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:50 +0800] "GET /yes/yesui/ui/component/layout/columnlayout.js HTTP/1.1" 200 2717
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:50 +0800] "GET /yes/yesui/ui/component/layout/autolayout.js HTTP/1.1" 200 2992
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:50 +0800] "GET /yes/yesui/ui/component/control/dict.js HTTP/1.1" 200 4399
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:50 +0800] "GET /yes/yesui/ui/component/panel/panel.js HTTP/1.1" 200 6700
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:50 +0800] "GET /yes/yesui/ui/component/panel/allmenu.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:50 +0800] "GET /yes/yesui/ui/css/images/combobox-btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:51 +0800] "POST /yes/servlet HTTP/1.1" 200 53821
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:51 +0800] "POST /yes/servlet HTTP/1.1" 200 53821
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/test/dicloadtest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/ui/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/ui/jquery/jquery-1.10.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/yes-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/common/jQueryExt.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/ui/jquery/ztree/jquery.ztree.all-3.5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/ui/component/component.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/ui/component/control/control.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/ui/component/control/label.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/ui/component/control/button.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/ui/component/control/texteditor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/ui/component/control/numberedit.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/ui/jquery/css/ztreestyle/zTreeStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/ui/component/layout/autolayout.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/ui/component/layout/columnlayout.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/ui/component/panel/panel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/ui/component/componentmgr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/ui/component/panel/allmenu.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/ui/component/control/dict.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/ui/component/panel/treepanel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "POST /yes/servlet HTTP/1.1" 200 53821
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "POST /yes/servlet HTTP/1.1" 200 53821
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/test/dicloadtest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/ui/jquery/css/ztreestyle/zTreeStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/ui/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/ui/jquery/jquery-1.10.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/ui/jquery/ztree/jquery.ztree.all-3.5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/yes-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2014:09:25:52 +0800] "GET /yes/yesui/common/jQueryExt.js HTTP/1.1" 304 -
