0:0:0:0:0:0:0:1 - - [23/Jan/2015:09:23:47 +0800] "GET /yes/yesui/plugins/jquery/bootstrap/js/dropdown.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2015:09:23:47 +0800] "GET /yes/yesui/plugins/jquery/datepicker/js/datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2015:09:23:47 +0800] "GET /yes/yesui/source/ui/component/panel/fluidtablelayoutpanel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2015:09:23:47 +0800] "GET /yes/yesui/source/ui/component/control/userinfopane.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2015:09:23:47 +0800] "GET /yes/yesui/source/ui/component/layout/fluidtablelayout.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2015:09:23:47 +0800] "GET /yes/yesui/plugins/jquery/datepicker/js/eye.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2015:09:23:47 +0800] "GET /yes/yesui/plugins/jquery/smartspin/smartspinner.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2015:09:23:47 +0800] "GET /yes/yesui/plugins/jquery/datepicker/js/utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2015:09:23:47 +0800] "POST /yes/servlet HTTP/1.1" 200 2839
0:0:0:0:0:0:0:1 - - [23/Jan/2015:09:23:47 +0800] "POST /yes/login?client_id=null&response_type=token&redirect_uri=undefined HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Jan/2015:09:23:49 +0800] "POST /yes/servlet HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [23/Jan/2015:09:23:49 +0800] "GET /yes/yesui/resources/css/images/checkbox0.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2015:09:23:49 +0800] "GET /yes/yesui/plugins/jquery/smartspin/normal.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2015:09:23:50 +0800] "POST /yes/servlet HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [23/Jan/2015:09:23:52 +0800] "POST /yes/servlet HTTP/1.1" 200 13686
0:0:0:0:0:0:0:1 - - [23/Jan/2015:09:23:53 +0800] "GET /yes/yesui/resources/css/images/ui-icons_d8e7f3_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2015:09:24:11 +0800] "GET /yes/workspace.jsp?clientID=903caa27-df57-4707-a897-3e57c3fa3d14 HTTP/1.1" 200 16450
0:0:0:0:0:0:0:1 - - [23/Jan/2015:09:24:11 +0800] "GET /yes/yesui/plugins/jquery/css/jquery-ui-1.10.4.custom.min.css HTTP/1.1" 304 -
