0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/workspace.jsp HTTP/1.1" 200 15716
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/plugins/jquery/css/jquery.ui.maskinput.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/plugins/jquery/css/jquery.ui.dict.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/plugins/jquery/css/jquery.ui.toolbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/plugins/jquery/css/jquery.ui.menubar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/plugins/jquery/css/jquery-ui-1.10.4.custom.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/resources/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/plugins/jquery/css/jquery.ui.treeview.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/plugins/jquery/css/ui.jqgrid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/plugins/jquery/fullcalendar/fullcalendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/plugins/jquery/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/plugins/jquery/css/default/jquery.treeTable.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/plugins/jquery/css/jquery.ui.listview.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/plugins/jquery/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/plugins/jquery/jquery.json-2.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/plugins/jquery/jquery-ui-i18n.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/plugins/jquery/jqgrid/jquery.jqGrid.src.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/plugins/jquery/jqgrid/grid.locale-cn.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/plugins/jquery/ui-extend/jquery-ui-timepicker-addon.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/plugins/jquery/ui-extend/jquery.ui.dict.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/plugins/jquery/ui-extend/jquery.ui.listview.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/resources/css/treemenubar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/plugins/jquery/jquery-1.10.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/plugins/jquery/jquery-ui-1.10.4.custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/source/yes-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/plugins/jquery/ui-extend/jquery.ui.menubar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2014:09:07:19 +0800] "GET /yes/yesui/plugins/jquery/ui-extend/jquery.ui.maskinput.js HTTP/1.1" 304 -
